month,month_name,records,drift_percentage,drift_detected,MAE,RMSE,R2,MAPE
1,January,744,56.00000000000001,True,3356.956171930773,5145.167070690559,0.991590267298901,1.8770902861347856
2,February,672,56.00000000000001,True,2251.4200494123374,2976.6171714733055,0.9967856669856516,1.2191618142737166
3,March,744,56.00000000000001,True,2806.3123671573376,5595.822616679447,0.9884097204543391,35.73299123502166
4,April,720,56.00000000000001,True,3679.9008109818665,4995.020341994844,0.9930145446840681,1.7575986259003598
5,May,744,56.00000000000001,True,4063.15838407308,5502.13535406622,0.9939264240654809,1.8459355601075331
6,June,720,56.00000000000001,True,4283.591241775758,6360.377904485345,0.9942762473524448,1.799244112828864
7,July,744,56.00000000000001,True,4285.755912018568,5844.65611465784,0.996449243736482,1.6192579185534433
8,August,744,56.00000000000001,True,4887.112114011659,6604.721464494367,0.9959488202418064,1.8237976821938198
9,September,720,56.00000000000001,True,4322.726057548406,6025.112616090269,0.9956809006104921,1.6891040603231433
10,October,744,56.00000000000001,True,4846.426186906122,8247.180948833453,0.9889305697549177,2.065538746525059
11,November,720,56.00000000000001,True,3470.777074061101,4801.984212291634,0.9925862986387076,1.7595094153513642
12,December,744,56.00000000000001,True,3218.4323828531183,4614.635283644944,0.9927170849717678,1.8511040242194532
