month,month_name,KS_statistic,p_value,drift_detected,MAE,RMSE,R2,sMAPE
1,January,0.11099862213685638,2.730155171649749e-07,True,3356.956171930773,5145.167070690559,0.991590267298901,1.8513744124880247
2,February,0.10781490015360987,0.0004910695111139415,True,2251.4200494123374,2976.6171714733055,0.9967856669856516,1.217478124430949
3,March,0.09615015360983092,0.0026744849920044556,False,2806.3123671573376,5595.822616679447,0.9884097204543391,1.7100274399835569
4,April,0.1377240143369175,1.5982314620833726e-06,True,3782.5549495683154,4975.339160841118,0.993069483864105,1.834046076781242
5,May,0.08862007168458785,0.0058717135451721416,False,4063.15838407308,5502.13535406622,0.9939264240654809,1.8415320077674182
6,June,0.1039874551971326,0.0006603062462289266,True,4412.553676325145,6378.371414488947,0.9942438165497474,1.8535184005073728
7,July,0.14892473118279564,1.4874253620818797e-07,True,4285.755912018568,5844.65611465784,0.996449243736482,1.623933702630755
8,August,0.09139784946236562,0.003980307618585455,False,4887.112114011659,6604.721464494367,0.9959488202418064,1.8226044195152422
9,September,0.05336021505376348,0.2369457813814049,False,4271.321479601363,5934.678306776738,0.9958095831651199,1.6970971345370518
10,October,0.06474014336917555,0.08780878938749982,False,4823.314123028754,8212.783731829957,0.9890227136202234,2.068068382770919
11,November,0.10882616487455199,0.0003087146251029485,True,3490.9528807469546,5117.955509448709,0.9915785544595056,1.7550760058935793
12,December,0.10228494623655915,0.0008557483765129739,True,3218.4323828531183,4614.635283644944,0.9927170849717678,1.8255204367412452
