month,month_name,KS_statistic,p_value,drift_detected,MAE,RMSE,R2,sMAPE,high_error
1,January,0.11099862213685638,2.730155171649749e-07,True,3356.956171930773,5145.167070690559,0.991590267298901,1.8513744124880247,False
2,February,0.10781490015360987,0.0004910695111139415,True,2251.4200494123374,2976.6171714733055,0.9967856669856516,1.217478124430949,False
3,March,0.09654638235830143,0.0002055421264674593,False,2806.3123671573376,5595.822616679447,0.9884097204543391,1.7100274399835569,False
4,April,0.17500000000000004,6.875518339578402e-15,True,3782.5549495683154,4975.339160841118,0.993069483864105,1.834046076781242,False
5,May,0.10784402561314485,4.786650058503395e-06,True,4063.15838407308,5502.13535406622,0.9939264240654809,1.8415320077674182,True
6,June,0.11295289855072466,1.71578709532085e-06,True,4283.591241775758,6360.377904485345,0.9942762473524448,1.799339573542845,True
7,July,0.06661349403284889,0.013744244660992782,False,4285.755912018568,5844.65611465784,0.996449243736482,1.623933702630755,True
8,August,0.06578716690042063,0.015322166279195729,False,5060.0944187325695,6804.593702645859,0.9956999164150316,1.8988425098370514,True
9,September,0.031733091787439605,0.6311128001472261,False,4338.977900483101,6008.806770608948,0.9957042466534789,1.7246457389422674,True
10,October,0.06325970079476384,0.02208137585090734,False,4929.532223112498,8181.6652715429655,0.9891057424939094,2.0984653036081564,True
11,November,0.10467995169082134,1.2293729940441011e-05,True,3437.210309594185,4674.711516584939,0.9929740790006661,1.7288688343626952,False
12,December,0.16012347867186583,6.8212483246676e-13,True,3218.4323828531183,4614.635283644944,0.9927170849717678,1.8255204367412452,False
