feature,ks_statistic,p_value,drift_detected
rolling_mean_168h,0.5049774414967441,0.0,True
rolling_mean_24h,0.4680368441576412,0.0,True
rolling_std_24h,0.35191537626157804,0.0,True
lag_168h,0.21683554096380997,2.6895916586402156e-271,True
lag_48h,0.21461889547194657,9.943128375187695e-266,True
lag_24h,0.21415975864917336,1.3910248037448373e-264,True
lag_2h,0.21358709552981037,3.705732246051545e-263,True
lag_1h,0.21358709552981037,3.705732246051545e-263,True
lag_3h,0.21358709552981037,3.705732246051545e-263,True
month,0.0059599733323270065,0.9728463584868813,False
month_cos,0.0054920311458295235,0.9883572819841725,False
week_of_year,0.005388882599343371,0.990645000451214,False
day_of_month,0.005159943142508533,0.9945256347271655,False
month_sin,0.003230310577757578,0.9999998131655173,False
dow_sin,0.0028730643923671195,0.999999997984425,False
dow_cos,0.002354805841729868,0.9999999999999508,False
day_of_week,0.0015698705611532637,1.0,False
is_weekend,0.0015698705611532082,1.0,False
weekday_evening_peak,0.000327056366906886,1.0,False
hour,1.1102230246251565e-16,1.0,False
hour_cos,1.1102230246251565e-16,1.0,False
hour_sin,1.1102230246251565e-16,1.0,False
is_morning_peak,1.1102230246251565e-16,1.0,False
is_evening_peak,0.0,1.0,False
