month,Static_MAE,Adaptive_V3_MAE,Improvement_%
1,3356.956171930773,3356.956171930773,0.0
2,2350.6120535685263,2251.4200494123374,4.219837297507382
3,3054.394767957459,2806.3123671573376,8.122145945333044
4,3675.8871023051997,3782.5549495683154,-2.9018259890577904
5,4246.518952790504,4063.15838407308,4.317902987267554
6,4521.036432333151,4283.591241775758,5.2520078993226775
7,4303.428031724409,4285.755912018568,0.41065214929968447
8,5000.3577403662675,5060.0944187325695,-1.1946480925568002
9,4360.572584596253,4338.977900483101,0.4952258836244578
10,4934.813483334791,4929.532223112498,0.10702046268067007
11,3387.5012586027838,3437.210309594185,-1.4674253143127851
12,3450.2094786862294,3218.4323828531183,6.717768798240252
