month,month_name,MAE,RMSE,MAPE,average_ks_drift,maximum_ks_drift,drift_percentage
1,January,3356.956171930773,5145.167070690559,1.8770902861347858,0.2720754465475873,1.0,56.00000000000001
2,February,2350.6120535685263,3174.303172978783,1.271927673982253,0.2605798788753334,1.0,56.00000000000001
3,March,3054.394767957459,5850.79134025409,36.67120894938232,0.2613864450961225,1.0,56.00000000000001
4,April,3675.8871023051997,4958.399144587859,1.7599203399653343,0.26119161310070405,1.0,56.00000000000001
5,May,4246.518952790504,5766.4889027951895,1.9146352992047995,0.28824446814182886,1.0,56.00000000000001
6,June,4521.036432333151,6449.855464878022,1.8897669053931085,0.31081037649219473,1.0,56.00000000000001
7,July,4303.428031724409,5877.316046643129,1.6268558830475277,0.3336661334755176,1.0,56.00000000000001
8,August,5000.3577403662675,6872.057849674559,1.8708827003510222,0.35552553886864735,1.0,56.00000000000001
9,September,4360.572584596253,6132.360650641191,1.7422909005841376,0.3490743801652893,1.0,56.00000000000001
10,October,4934.813483334791,8184.888849987209,2.1061384250296196,0.328663615628425,1.0,56.00000000000001
11,November,3387.5012586027838,4629.760358138848,1.7105625049032318,0.284589072543618,1.0,56.00000000000001
12,December,3450.2094786862294,5198.619988487748,1.9764827965362803,0.263438391737512,1.0,56.00000000000001
